property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,ashiana mulberry,sohna road,0.95,6485.0,1465.0,Super Built up area 1465(136.1 sq.m.)Built Up area: 1175.97 sq.ft. (109.25 sq.m.)Carpet area: 834.96 sq.ft. (77.57 sq.m.),2,2,3+,3.0,,New property,1465.0,1175.97,834.96,1,0,0,0,0,1,89,732.5
flat,tulip violet,sector 69,1.29,8227.0,1568.0,Super Built up area 1568(145.67 sq.m.),3,3,1,12.0,North-East,Relatively Old,1568.0,,,0,0,0,1,0,2,86,522.6666666666666
house,suncity avenue 76,sector 76,0.75,10067.0,745.0,Plot area 745(69.21 sq.m.)Built Up area: 745 sq.ft. (69.21 sq.m.),2,2,2,11.0,North-East,New property,,745.0,,0,0,0,0,0,1,40,372.5
flat,dlf the primus,sector 82a,1.85,10283.0,1799.0,Super Built up area 1799(167.13 sq.m.)Carpet area: 1538 sq.ft. (142.88 sq.m.),3,3,3+,2.0,South,Relatively Old,1799.0,,1538.0,0,0,0,0,0,2,44,599.6666666666666
flat,umang monsoon breeze,sector 78,0.7,5719.0,1224.0,Built Up area: 1224 (113.71 sq.m.),2,2,2,5.0,,Undefined,,1224.0,,0,0,0,0,0,1,0,612.0
flat,rof ananda,sector 95,0.32,5829.0,549.0,Carpet area: 549.16 (51.02 sq.m.),2,2,1,9.0,North,Relatively Old,,,549.174178,0,0,0,1,0,2,71,274.5
flat,the crew bos chs manesar,manesar,0.85,3696.0,2300.0,Carpet area: 2300 (213.68 sq.m.),3,3,2,2.0,East,Moderate Old,,,2300.0,0,0,0,0,0,1,44,766.6666666666666
flat,spaze privvy the address,sector 93,1.25,5700.0,2193.0,Built Up area: 2105 (195.56 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),4,4,3,16.0,,Relatively Old,,2105.0,1700.0,0,0,0,0,0,1,0,548.25
flat,"m m residency, krishna colony, gurgaon",sector 7,0.54,5889.0,917.0,Carpet area: 900 (83.61 sq.m.),2,2,1,3.0,East,Relatively Old,,,900.0,0,0,0,0,0,1,70,458.5
flat,chd avenue,sector 71,0.79,6594.0,1198.0,Super Built up area 1198(111.3 sq.m.),2,2,2,8.0,South-East,Relatively Old,1198.0,,,0,0,0,0,1,1,0,599.0
